date,market_cap
2021-04-30,35.38
2021-03-31,33.62
2021-02-28,32.12
2021-01-31,31.31
2020-12-31,31.66
2020-11-30,30.01
2020-10-31,27.1
2020-09-30,27.87
2020-08-31,28.94
2020-07-31,27.05
2020-06-30,25.64
2020-05-31,25.24
2020-04-30,24.14
2020-03-31,21.42
2020-02-29,24.47
2020-01-31,26.72
2019-12-31,26.76
2019-11-30,26.07
2019-10-31,25.21
2019-09-30,24.71
2019-08-31,24.3
2019-07-31,24.74
2019-06-30,24.42
2019-05-31,22.93
2019-04-30,24.55
2019-03-31,23.62
2019-02-28,23.36
2019-01-31,22.68
2018-12-31,21.03
2018-11-30,23.28
2018-10-31,22.87
2018-09-30,24.58
2018-08-31,24.59
2018-07-31,23.87
2018-06-30,23.04
2018-05-31,23.04
2018-04-30,22.56
2018-03-31,22.5
2018-02-28,23.16
2018-01-31,24.1
2017-12-31,22.82
2017-11-30,22.68
2017-10-31,22.06
2017-09-30,21.58
2017-08-31,21.18
2017-07-31,21.16
2017-06-30,20.76
2017-05-31,20.7
2017-04-30,20.46
2017-03-31,20.28
